invalid_smiles,Canonicalized
O=C1C([N+H]2CC2)=CC(=O)C([N+H]2CC2)=C1,C1C[NH+]1C2=CC(=O)C(=CC2=O)[NH+]3CC3
O=[N+]([O-])c1c2c(NCC[N+H2]CCO)c3c([n+H]c2ccc1)cccc3,c1ccc2c(c1)c(c3c([nH+]2)cccc3[N+](=O)[O-])NCC[NH2+]CCO
Clc1c(C)cc2S(=O)(=O)N=C(NNC3=[N+H]CCN3)Sc2c1,Cc1cc2c(cc1Cl)SC(=NS2(=O)=O)NNC3=[NH+]CCN3
O=C(N[C@H]1[C@@H](C)OC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)C2N(C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)C(=O)[C@H](C(C)C)OC(=O)C[C@H](O)[C@@H]([C@H](CC)C)NC1=O)CCC2)[C@H]([N+H](C[C@@H]1N(C(=O)C(=O)C)CCC1)C)CC(C)C,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)[NH+](C)CC3CCCN3C(=O)C(=O)C)C)Cc4ccc(cc4)OC)C)CC(C)C)C)C(C)C)O
Fc1c(C#CC2(O)CC[N+H2]CC2)c2/C(=C\c3c(OC)cc[nH]3)/C(=O)Nc2cc1,COc1cc[nH]c1C=C2c3c(ccc(c3C#CC4(CC[NH2+]CC4)O)F)NC2=O
O=C(O[C@@H]1C(C)=C2[C@@H](OC(=O)C)C(=O)[C@]3(C)[C@@H](O)C[C@@H]4[C@](OC(=O)C)([C@H]3[C@H](OC(=O)c3ccccc3)[C@@](O)(C2(C)C)C1)CO4)[C@H](O)[C@@H](NC(=O)c1cc([N+]#[N+][N-H])ccc1)c1ccccc1,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(c5ccccc5)NC(=O)c6cccc(c6)[N+]#[N+][NH-])O)O)OC(=O)c7ccccc7)(CO4)OC(=O)C)O)C)OC(=O)C
O=C(Nc1cc(Oc2ncc3nc(n(CC)c3c2)-c2c(N)non2)ccc1)c1ccc(OCC[N+H]2CCOCC2)cc1,CCn1c2cc(ncc2nc1c3c(non3)N)Oc4cccc(c4)NC(=O)c5ccc(cc5)OCC[NH+]6CCOCC6
O=C(C[N+H](C)C)N1c2c(C(C)(C)CC1)cc(OC)c(Nc1nc(Nc3c(C(=O)N)scc3)c3c([nH]cc3)n1)c2,CC1(CCN(c2c1cc(c(c2)Nc3nc4c(cc[nH]4)c(n3)Nc5ccsc5C(=O)N)OC)C(=O)C[NH+](C)C)C
O=C(O[C@@H]1[C@H](O)[C@H](O[C@@H]2[C@H](C)[C@H](C)[C@H](CC)O[C@@H]2O[C@H]([C@H](NC(=O)c2c(C)c(N)nc([C@@H]([N+H2]C[C@@H](N)C(=O)N)CC(=O)N)n2)C(=O)N[C@@H]([C@H](O)[C@@H](C(=O)N[C@H]([C@H](O)C)C(=O)NCCc2scc(-c3scc(C(=O)NCCCCNC(=[N+H2])N)n3)n2)C)C)c2[nH]cnc2)O[C@H](CO)[C@@H]1O)N,CCC1C(C(C(C(O1)OC(c2cnc[nH]2)C(C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCc3nc(cs3)c4nc(cs4)C(=O)NCCCCNC(=[NH2+])N)O)NC(=O)c5c(c(nc(n5)C(CC(=O)N)[NH2+]CC(C(=O)N)N)N)C)OC6C(C(C(C(O6)CO)O)OC(=O)N)O)C)C
O=C(C[N+H](C)C)N1c2c(cc(OC)c(Nc3nc(Nc4c(C(=O)N)scc4)c4c([nH]cc4)n3)c2)CCC1,C[NH+](C)CC(=O)N1CCCc2c1cc(c(c2)OC)Nc3nc4c(cc[nH]4)c(n3)Nc5ccsc5C(=O)N
